"Conversion_Id","GJ_Factor","CO2e_Rate","CO2e_Rate_Original","Factor_CO2","Factor_CH4","Factor_N2O","KG_Conversion","L_Conversion","M2_Conversion","M_Conversion","Uncertainty_Factor","CO2e_Indirect_Factor","Cost_Factor","Market_Rate","KWH_Factor","Factor_BioCO2"
"1","-0.0036000000000000","-0.0002070500000000","-0.20705000","-0.0002049300000000","-0.0000009000000000","-0.0000012200000000","","","","","","-0.0000183000000000","","","-1.0000000000000080000",""
"2","","-0.0007166000000000","-0.71660000","-0.0007129000000000","-0.0000003000000000","-0.0000034000000000","","","","","","-0.0002894000000000","","","",""
"3","","-0.0003490000000000","-0.34900000","-0.0003472000000000","-0.0000003000000000","-0.0000015000000000","","","","","","-0.0000861000000000","","","",""
"4","","-0.0002994780100000","-0.29947801","-0.0002981852700000","-0.0000005715300000","-0.0000007212100000","","","","","","-0.0000160941800000","","","",""
"5","","-0.0002256513200000","-0.22565132","-0.0002248784000000","-0.0000002921100000","-0.0000004808100000","","","","","","-0.0000118763900000","","","",""
"6","","-0.0002070740000000","-0.20707400","-0.0002049600000000","-0.0000008960000000","-0.0000012180000000","","","","","","-0.0000179200000000","","","",""
"7","","-0.0001933800000000","-0.19338000","-0.0001912100000000","-0.0000008000000000","-0.0000013700000000","","","","","","-0.0000176900000000","","","",""
"8","","-0.0001354000000000","-0.13540000","-0.0001351000000000","","-0.0000003000000000","","","","","","-0.0000416000000000","","","",""
"9","","-0.0000741776500000","-0.07417765","-0.0000720796800000","-0.0000019395100000","-0.0000001584600000","","","","","","-0.0000086015200000","","","",""
"10","","-0.0000728917400000","-0.07289174","-0.0000702171500000","-0.0000025985800000","-0.0000000760200000","","","","","","-0.0000053320500000","","","",""
"11","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","0.01193788","","",""
"13","","","","","","","","","","","","","0.01199674","","",""
"14","","","","","","","","","","","","","0.01199918","","",""
"15","","","","","","","","","","","","","0.01202472","","",""
"16","","","","","","","","","","","","","0.01203790","","",""
"17","","","","","","","","","","","","","0.01210668","","",""
"18","","","","","","","","","","","","","0.01216693","","",""
"19","","","","","","","","","","","","","0.01218235","","",""
"20","","","","","","","","","","","","","0.01227355","","",""
"21","","","","","","","","","","","","","0.01265663","","",""
"22","","","","","","","","","","","","","0.01320585","","",""
"23","","","","","","","","","","","","","0.01345117","","",""
"24","","","","","","","","","","","","","0.97465887","","",""
"25","","","","","","","","","","","","","1.00000000","","",""
"26","","","","","","","","","","","","","1.03950104","","",""
"27","","","","","","","","","","","","","1.05932203","","",""
"28","","","","","","","","","","","","","1.06837607","","",""
"29","","","","","","","","","","","","","1.06951872","","",""
"30","","","","","","","","","","","","","1.07874865","","",""
"31","","","","","","","","","","","","","1.08695652","","",""
"32","","","","","","","","","","","","","1.10375276","","",""
"33","","","","","","","","","","","","","1.10497238","","",""
"34","","","","","","","","","","","","","1.10987791","","",""
"35","","","","","","","","","","","","","1.11982083","","",""
"36","","","","","","","","","","","","","1.13378685","","",""
"37","","","","","","","","","","","","","1.20481928","","",""
"38","","","","","","","","","","","","","1.21065375","","",""
"39","","","","","","","","","","","","","1.22549020","","",""
"40","","","","","","","","","","","","","1.23762376","","",""
"41","","","","","","","","","","","","","1.26103405","","",""
"42","","","","","","","","","","","","","1.26422250","","",""
"43","","","","","","","","","","","","","1.26582278","","",""
