"dr","Region_Id","Location_Id","Group_Location_Id","Item_Id_Unique","Meter_Type_Id","Use_Id","Occurred_On","FY","FY_MonthEnding","Confidence","Amount","Statistics_Data_Type_Id","Days_Included","Currency_Id","Normalized","Conversion_Id","Target","Budget","Target_CO2e","Target_GJ"
"24","145786","17069958","17083277","-17896443","101","1","5/1/2022 12:00:00 AM","21-22","","100","109010.9890","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","6/1/2022 12:00:00 AM","21-22","","100","105494.5055","1","30","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","7/1/2022 12:00:00 AM","21-22","","100","117934.7826","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","8/1/2022 12:00:00 AM","21-22","","100","117934.7826","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","9/1/2022 12:00:00 AM","21-22","","100","114130.4348","1","30","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","10/1/2022 12:00:00 AM","21-22","","100","107826.0870","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","11/1/2022 12:00:00 AM","21-22","","100","104347.8261","1","30","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","12/1/2022 12:00:00 AM","21-22","","100","107826.0870","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","1/1/2023 12:00:00 AM","22-23","","100","106777.7778","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","2/1/2023 12:00:00 AM","22-23","","100","96444.4444","1","28","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","3/1/2023 12:00:00 AM","22-23","","100","106777.7778","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","4/1/2023 12:00:00 AM","22-23","","100","118681.3187","1","30","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","5/1/2023 12:00:00 AM","22-23","","100","122637.3626","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","6/1/2023 12:00:00 AM","22-23","","100","118681.3187","1","30","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","7/1/2023 12:00:00 AM","22-23","","100","114565.2174","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","8/1/2023 12:00:00 AM","22-23","","100","114565.2174","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","9/1/2023 12:00:00 AM","22-23","","100","110869.5652","1","30","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","10/1/2023 12:00:00 AM","22-23","","92","107974.0509","3","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","11/1/2023 12:00:00 AM","22-23","","100","122950.8197","1","30","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","12/1/2023 12:00:00 AM","22-23","","100","127049.1803","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","1/1/2024 12:00:00 AM","23-24","","100","105604.3956","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","2/1/2024 12:00:00 AM","23-24","","100","98791.2088","1","29","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","3/1/2024 12:00:00 AM","23-24","","100","105604.3956","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","4/1/2024 12:00:00 AM","23-24","","100","108791.2088","1","30","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","5/1/2024 12:00:00 AM","23-24","","100","112417.5824","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","6/1/2024 12:00:00 AM","23-24","","100","108791.2088","1","30","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","7/1/2024 12:00:00 AM","23-24","","100","101086.9565","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","8/1/2024 12:00:00 AM","23-24","","100","101086.9565","1","31","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","9/1/2024 12:00:00 AM","23-24","","100","97826.0870","1","30","114","","48","","","",""
"24","145786","17069958","17083277","-17896443","101","1","10/1/2024 12:00:00 AM","23-24","","92","107974.0509","3","31","114","","48","","","",""
