"Location_Id","Associate_Id","Location","Location_Type","Reference","Latitude","Longitude","Location_Type_Id","HasGaps","Associate","Attribute 1","Attribute 2","Attribute 3","Attribute 4","Attribute 5","Numeric Field 1","Numeric Field 2","Location Ref","Location ID","Language_Code","Weather Station Name","Location Notes","Attribute 6","Attribute 7","Attribute 8","Attribute 9","Attribute 10","Address Type","Addressee","Mailing Name","Address","Address - City","Address - State","Address - Post Code","Address - Country Region","Region_Id","Opened On","Closed On"
"17035321","17000252","Unallocated Accounts","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","","","","","","","","","74","",""
"17069956","17000252","IN Bank - Mumbai Co","Head Office","","19.075983","72.877655","3","","GSI Demos","","","","","","","","","","en-US","BOMBAY / SANTACRUZ","","","","","","","Physical","","","","Mumbai","Maharashtra","","India","17000001","",""
"17069957","17000252","IN Bank - London Co","Head Office","","51.507351","-0.1277653","3","","GSI Demos","","","","","","","","","","en-US","London City Airport","","","","","","","Physical","","","","London","","","United Kingdom","1068","",""
"17069958","17000252","IN Bank - Washington DC Co","Head Office","","38.9072","-77.00025","3","","GSI Demos","","","","","","","","","","en-US","REAGAN NATIONAL AIRPORT","","","","","","","Physical","","","","Washington","Washington","","United States","145786","",""
"17069959","17000252","IN Bank - Mumbai Br","Branch","","19.1136","72.8697","106","","GSI Demos","","","","","","","","","","en-US","BOMBAY / SANTACRUZ","","","","","","","Physical","","","","Mumbai","Maharashtra","","India","17000001","",""
"17069960","17000252","IN Bank - New Delhi Br","Branch","","28.6139","77.209","106","","GSI Demos","","","","","","","","","","en-US","NEW DELHI / PALAM","","","","","","","Physical","","","","New Delhi","","","India","28550","",""
"17069961","17000252","IN Bank - New York Br","Branch","","40.7128","74.006","106","","GSI Demos","","","","","","","","","","en-US","Deadhorse","","","","","","","Physical","","","","New York","","","United States","94394","",""
"17069962","17000252","IN Bank - Chicago Br","Branch","","41.878113","87.629799","106","","GSI Demos","","","","","","","","","","en-US","Juneau","","","","","","","Physical","","","","Chicago","","","United States","94339","",""
"17069963","17000252","IN Bank -  Frankfurt Br","Branch","","50.110924","8.682127","106","","GSI Demos","","","","","","","","","","en-US","FRANKFURT / M-FLUGHAFEN","","","","","","","Physical","","","","Frankfurt","","","Germany","45001","",""
"17069964","17000252","IN Bank - Hyderabad ATM","ATM","","17.4399","78.4983","98","","GSI Demos","","","","","","","","","","en-US","HYDERABAD AIRPORT","","","","","","","Physical","","","","Hyderabad","","","India","65250","",""
"17069965","17000252","IN Bank - Bangalore ATM","ATM","","12.9716","77.5946","98","","GSI Demos","","","","","","","","","","en-US","Bengaluru","","","","","","","Physical","","","","Bangalore","","","India","17000000","",""
"17069966","17000252","IN Bank - Frankfurt DC","Data Center","","50.110924","8.682127","33","","GSI Demos","","","","","","","","","","en-US","FRANKFURT / M-FLUGHAFEN","","","","","","","Physical","","","","Frankfurt","","","Germany","45001","",""
"17069967","17000252","IN Bank - Chennai DC","Data Center","","13.0827","80.2707","33","","GSI Demos","","","","","","","","","","en-US","MADRAS / MINAMBAKKAM","","","","","","","Physical","","","","Chennai","","","India","28928","",""
"17069968","17000252","IN Bank - Kraft Paper Supplier","Supplier","","","","136","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17069969","17000252","IN Bank - Kemsley Paper Mills","Supplier","","","","136","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Kent","","","United Kingdom","944","",""
"17069970","17000252","IN Bank - Lenovo Computer Supplier","Supplier","","","","136","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","New York","","","United States","77","",""
"17069971","17000252","IN Bank - HP Computer Supplier","Supplier","","","","136","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","New Delhi","","","India","809","",""
"17069972","17000252","IN Bank - Alfa Furtniture","Supplier","","","","136","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Ahmedabad","","","India","809","",""
"17069973","17000252","IN Bank - Employe Air miles","Administration","","19.075983","72.877655","240","","GSI Demos","","","","","","","","","","en-US","BOMBAY / SANTACRUZ","","","","","","","Physical","","","","Mumbai","Maharashtra","","India","17000001","",""
"17069974","17000252","IN Bank - Hotel Stays","Administration","","19.075983","72.877655","240","","GSI Demos","","","","","","","","","","en-US","BOMBAY / SANTACRUZ","","","","","","","Physical","","","","Mumbai","Maharashtra","","India","17000001","",""
"17069975","17000252","IN Bank - Emp Commute","Administration","","19.075983","72.877655","240","","GSI Demos","","","","","","","","","","en-US","BOMBAY / SANTACRUZ","","","","","","","Physical","","","","Mumbai","Maharashtra","","India","17000001","",""
"17071664","17000252","GSIDemo_SG-Emp Hires","Other","","19.075983","72.877655","5","","GSI Demos","","","","","","","","","","en-US","BOMBAY / SANTACRUZ","","","","","","","Physical","","","","Mumbai","","","India","17000001","",""
"17071665","17000252","GSIDemo_SG-Modern Slavery","Other","","19.075983","72.877655","5","","GSI Demos","","","","","","","","","","en-US","BOMBAY / SANTACRUZ","","","","","","","Physical","","","","Mumbai","","","India","17000001","",""
"17071666","17000252","GSIDemo_FC-Thailand","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","","","","Thailand","969","",""
"17071667","17000252","GSIDemo_FC-USA","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","","","","USA","74","",""
"17071668","17000252","GSIDemo_FC-Russia","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","","","","Russia","914","",""
"17071669","17000252","GSIDemo_FC-Malaysia","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","","","","Malaysia","866","",""
"17071670","17000252","GSIDemo_FC-India","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","","","","India","809","",""
"17071671","17000252","GSIDemo_FC-France","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","","","","France","798","",""
"17071672","17000252","GSIDemo_FC-Australia","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","","","","Australia","13","",""
"17072148","17000252","G5-IBMCloud","Other","","39.04375670","-77.48744160","5","","GSI Demos","","","","","","","","G5-74857916869713","","en-US","LEESBURG / GODFREY!","","","","","","","Physical","","","","","","","US","128378","",""
"17072149","17000252","G5-vc01dc01","Other","","","","5","","GSI Demos","","","","","","","","G5-74896601225649","","en-US","","","","","","","","Physical","","","","","","","","74","",""
"17072150","17000252","IH50-Bank-CorpOffice","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17072151","17000252","IH50-Bank Ex - Emp Air miles","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17072152","17000252","IH50-Bank Ex - Emp Commute","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17072153","17000252","IH50-Bank Ex - Emp Hotel Stays","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17072154","17000252","IH50-Bank Web - Emp Hotel Stays","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17072155","17000252","IH50-Bank Web - Emp Air Travel","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17072156","17000252","IH50-Bank Web - Emp Commute","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17072157","17000252","IH50-Bank - Invoice","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17072158","17000252","IH50-Bank - Utility","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17072159","17000252","IH50-Bank Web - Frankfurt","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Frankfurt","","","Germany","830","",""
"17072160","17000252","IH50-Bank Web SAP - PACK","Other","","","","5","","GSI Demos","","","","","","","","","","en-US","","","","","","","","Physical","","","","Mumbai","","","India","809","",""
"17072550","17000252","Test-SIMS","Site","","-36.85","174.783","175","","GSI Demos","","","","","","","","","","en-US","","","","","","","","","","","","","","","","68044","",""
"17072553","17000252","Nov13-NZD - AUCKLAND","Site","","","","175","","GSI Demos","","","","","","","","","A0001026","en-US","","","","","","","","Physical","","","69 AINTREE AVENUE","AUCKLAND","AUCKLAND","2022","New Zealand","872","","6/30/2022 12:00:00 AM"
"17072554","17000252","Nov13-AUCKLAND F","Site","","-36.94856","174.8284","175","","GSI Demos","","","","","","","","","NZAU1","en-US","Auckland Aero","","","","","","","Physical","","","263 JAMES FLETCHER DRIVE","OTAHUHU","Auckland","3200","New Zealand","68145","",""
