"Region_Id","Continent_Id","Country_Id","State_Id","Continent","Country","State","Region","Language_Code"
"1068","518","944","7797","Europe","United Kingdom","Greater London","City of London","en-US"
"28550","514","809","20280","South Asia","India","Union Territory of Delhi","New Delhi","en-US"
"28928","514","809","20274","South Asia","India","State of Tamil Nadu","Chennai","en-US"
"45001","518","830","21745","Europe","Germany","Hesse","Frankfurt am Main","en-US"
"65250","514","809","22378","South Asia","India","State of Andhra Pradesh","Malkajgiri","en-US"
"68044","20827","872","68044","Oceania","New Zealand","Auckland","Auckland","en-US"
"68145","20827","872","68044","Oceania","New Zealand","Auckland","Mangere","en-US"
"94339","76","77","7872","North America","United States","Alaska","99840 - Skagway, AK - AKMS","en-US"
"94394","76","77","7872","North America","United States","Alaska","99723 - Barrow, AK - AKMS","en-US"
"145786","76","77","7827","North America","United States","District of Columbia","20417 - Washington, DC - RFCE","en-US"
"17000000","514","809","20313","South Asia","India","Karnataka","Bangalore","en-US"
"17000001","514","809","20315","South Asia","India","Maharashtra","Mumbai","en-US"
