"Location_Id","Occurred_On","Avg_Avg_Temperature","Avg_Min_Temperature","Avg_Max_Temperature","Avg_HDD","Avg_CDD","Base_HDD","Base_CDD"
"17069960","8/1/2020 12:00:00 AM","30.1935","27.0967","32.7096","","","",""
"17069975","2/1/2023 12:00:00 AM","29.3214","23.6785","34.4285","","","",""
"17069966","9/1/2015 12:00:00 AM","14.5000","10.4000","19.0000","","","",""
"17069974","10/1/2018 12:00:00 AM","31.0000","26.8064","34.7096","","","",""
"17069958","8/1/2012 12:00:00 AM","25.5333","22.2666","29.5333","","","",""
"17069956","9/1/2023 12:00:00 AM","29.0333","26.2666","31.2666","","","",""
"17072148","12/1/2023 12:00:00 AM","6.1612","1.7096","10.0645","","","",""
"17069963","3/1/2013 12:00:00 AM","2.7741","-1.1612","6.8387","","","",""
"17069962","7/1/2018 12:00:00 AM","16.8709","11.5161","21.5806","","","",""
"17069961","10/1/2019 12:00:00 AM","-4.6451","-7.7419","-1.1612","","","",""
"17071664","3/1/2017 12:00:00 AM","26.7741","20.2580","32.9677","","","",""
"17069965","3/1/2021 12:00:00 AM","26.7096","20.2580","32.6129","","","",""
"17072550","12/1/2005 12:00:00 AM","19.5596","16.1774","22.9419","","","",""
"17069975","3/1/2013 12:00:00 AM","26.6451","19.0967","33.8387","","","",""
"17069960","2/1/2016 12:00:00 AM","18.9655","11.4827","26.3103","","","",""
"17069967","5/1/2019 12:00:00 AM","35.0322","30.0322","39.6129","","","",""
"17069967","6/1/2014 12:00:00 AM","32.7333","27.5000","38.2666","","","",""
"17069973","10/1/2019 12:00:00 AM","29.4838","26.2903","32.2903","","","",""
"17069966","3/1/2020 12:00:00 AM","7.6129","2.5806","12.0967","","","",""
"17069963","2/1/2023 12:00:00 AM","5.0714","1.5357","8.2142","","","",""
"17069957","7/1/2018 12:00:00 AM","22.4516","17.6451","27.1612","","","",""
"17071664","12/1/2022 12:00:00 AM","28.7741","24.3548","32.6129","","","",""
"17072554","10/1/2007 12:00:00 AM","14.2870","10.8967","17.6774","","","",""
"17071664","7/1/2021 12:00:00 AM","28.8387","26.6774","30.5806","","","",""
"17069966","1/1/2020 12:00:00 AM","4.2580","1.3548","6.8709","","","",""
"17069964","11/1/2021 12:00:00 AM","24.1000","20.6000","27.0333","","","",""
"17072550","10/1/2014 12:00:00 AM","14.6241","11.2903","17.9580","","","",""
"17069963","6/1/2023 12:00:00 AM","21.8666","15.2000","28.0333","","","",""
"17069961","9/1/2023 12:00:00 AM","3.1333","0.1000","5.6666","","","",""
"17069964","6/1/2022 12:00:00 AM","28.7666","24.3666","32.6333","","","",""
"17071665","12/1/2021 12:00:00 AM","26.7741","22.7096","30.4838","","","",""
"17069957","12/1/2017 12:00:00 AM","6.8064","4.6451","8.9677","","","",""
"17069967","10/1/2018 12:00:00 AM","29.1290","25.4516","32.3548","","","",""
"17069966","7/1/2011 12:00:00 AM","18.0322","13.5161","22.5483","","","",""
"17072554","7/1/2020 12:00:00 AM","11.7129","8.1290","15.2967","","","",""
"17072554","11/1/2017 12:00:00 AM","16.9816","13.0866","20.8766","","","",""
"17071665","3/1/2016 12:00:00 AM","27.8064","21.7741","33.6774","","","",""
"17069961","1/1/2021 12:00:00 AM","-25.2580","-27.5483","-22.5161","","","",""
"17069957","8/1/2013 12:00:00 AM","19.3548","15.6451","23.3870","","","",""
"17069957","3/1/2012 12:00:00 AM","9.3870","5.8064","13.3548","","","",""
"17069974","4/1/2023 12:00:00 AM","30.7666","27.4333","33.6333","","","",""
"17072550","6/1/2010 12:00:00 AM","12.1333","8.8666","15.4000","","","",""
"17069956","11/1/2014 12:00:00 AM","28.2333","21.7000","34.4666","","","",""
"17071665","8/1/2017 12:00:00 AM","27.6774","24.9032","30.2903","","","",""
"17069974","9/1/2022 12:00:00 AM","28.0666","25.4666","30.0333","","","",""
"17069962","2/1/2024 12:00:00 AM","-1.1724","-3.8620","1.6551","","","",""
"17069960","9/1/2014 12:00:00 AM","29.6333","25.5666","34.2666","","","",""
"17069958","1/1/2014 12:00:00 AM","-0.7096","-3.5161","2.5806","","","",""
"17072148","1/1/2011 12:00:00 AM","-1.2272","-4.8636","2.8181","","","",""
"17072148","7/1/2022 12:00:00 AM","25.9354","20.3870","30.9032","","","",""
"17069963","12/1/2016 12:00:00 AM","2.3225","0.2580","4.7419","","","",""
"17069960","12/1/2011 12:00:00 AM","15.1612","9.0000","22.2580","","","",""
"17072550","8/1/2023 12:00:00 AM","10.8758","6.8870","14.8645","","","",""
"17071664","11/1/2016 12:00:00 AM","26.8333","18.5000","34.6000","","","",""
"17069967","4/1/2016 12:00:00 AM","31.5666","26.2000","37.0000","","","",""
"17069973","1/1/2021 12:00:00 AM","27.0645","22.8064","30.9354","","","",""
"17071665","4/1/2013 12:00:00 AM","27.5000","21.9333","32.8333","","","",""
"17069959","3/1/2020 12:00:00 AM","28.4516","24.8064","31.7096","","","",""
"17069957","3/1/2014 12:00:00 AM","9.8064","6.0645","13.9032","","","",""
"17069966","2/1/2015 12:00:00 AM","2.0000","-0.6785","5.0000","","","",""
"17069975","9/1/2023 12:00:00 AM","29.0333","26.2666","31.2666","","","",""
"17069959","9/1/2015 12:00:00 AM","28.0000","23.8666","31.8000","","","",""
"17069959","7/1/2024 12:00:00 AM","27.6451","25.5806","29.2580","","","",""
"17069956","7/1/2019 12:00:00 AM","28.5806","27.0000","29.5483","","","",""
"17069965","11/1/2022 12:00:00 AM","22.2000","17.7333","26.0666","","","",""
"17069967","4/1/2023 12:00:00 AM","31.9000","27.6333","35.5000","","","",""
"17069959","1/1/2020 12:00:00 AM","26.0000","21.8387","29.5161","","","",""
"17069973","9/1/2016 12:00:00 AM","27.0000","23.6666","29.8666","","","",""
"17069956","3/1/2015 12:00:00 AM","26.7741","20.5161","33.0322","","","",""
"17069966","8/1/2021 12:00:00 AM","18.5483","13.3870","23.1290","","","",""
"17071665","1/1/2016 12:00:00 AM","23.5161","16.0000","31.2258","","","",""
"17069960","1/1/2022 12:00:00 AM","13.5161","9.5806","17.0645","","","",""
"17072550","4/1/2012 12:00:00 AM","16.8133","12.7533","20.8733","","","",""
"17069958","12/1/2016 12:00:00 AM","5.5806","1.3225","9.5483","","","",""
"17071664","8/1/2015 12:00:00 AM","28.0000","24.7741","30.9354","","","",""
"17069958","11/1/2022 12:00:00 AM","11.6333","6.9000","15.8666","","","",""
"17069966","7/1/2024 12:00:00 AM","21.0645","15.0645","26.5806","","","",""
"17069958","6/1/2021 12:00:00 AM","24.8666","20.2666","29.1000","","","",""
"17069963","7/1/2019 12:00:00 AM","21.8064","15.7096","27.3548","","","",""
"17069973","10/1/2017 12:00:00 AM","29.0645","24.6451","33.7096","","","",""
"17069960","4/1/2016 12:00:00 AM","31.7333","23.4000","40.2000","","","",""
"17072550","4/1/2019 12:00:00 AM","15.8900","11.7800","20.0000","","","",""
"17069975","11/1/2012 12:00:00 AM","26.2333","19.1666","32.9333","","","",""
"17071665","6/1/2024 12:00:00 AM","30.0333","27.2000","32.3000","","","",""
"17072554","9/1/2011 12:00:00 AM","12.2783","8.4366","16.1200","","","",""
"17069960","9/1/2017 12:00:00 AM","29.3000","24.1000","34.7000","","","",""
"17071665","9/1/2011 12:00:00 AM","27.6666","25.7666","29.7333","","","",""
"17069975","7/1/2019 12:00:00 AM","28.5806","27.0000","29.5483","","","",""
"17069956","10/1/2020 12:00:00 AM","30.0645","26.8064","32.7096","","","",""
"17072554","1/1/2016 12:00:00 AM","20.9290","17.2129","24.6451","","","",""
"17071665","5/1/2014 12:00:00 AM","30.2258","26.6129","33.6451","","","",""
"17069957","11/1/2023 12:00:00 AM","9.1000","6.4000","11.3333","","","",""
"17069967","8/1/2020 12:00:00 AM","30.5806","27.0000","33.6774","","","",""
"17072554","8/1/2014 12:00:00 AM","11.7629","8.5451","14.9806","","","",""
"17069958","5/1/2011 12:00:00 AM","20.2903","15.2258","25.1612","","","",""
"17072554","4/1/2010 12:00:00 AM","16.9250","12.9500","20.9000","","","",""
"17072550","7/1/2006 12:00:00 AM","10.4112","6.4580","14.3645","","","",""
"17069974","6/1/2012 12:00:00 AM","29.6000","26.5666","32.6666","","","",""
"17069974","11/1/2013 12:00:00 AM","27.7000","21.3000","33.5333","","","",""
"17069973","2/1/2015 12:00:00 AM","24.6785","17.6071","31.8928","","","",""
"17072550","12/1/2007 12:00:00 AM","18.7209","15.2967","22.1451","","","",""
"17071664","4/1/2011 12:00:00 AM","29.0000","26.5666","31.6000","","","",""
"17072554","1/1/2009 12:00:00 AM","19.7145","15.8483","23.5806","","","",""
"17069957","6/1/2022 12:00:00 AM","17.7333","13.1000","21.9000","","","",""
"17069975","3/1/2015 12:00:00 AM","26.7741","20.5161","33.0322","","","",""
"17069959","8/1/2023 12:00:00 AM","29.0645","26.9354","30.4516","","","",""
"17072554","12/1/2023 12:00:00 AM","19.6419","16.3354","22.9483","","","",""
"17069963","2/1/2021 12:00:00 AM","3.4285","-1.1785","7.8928","","","",""
"17069975","4/1/2020 12:00:00 AM","30.7666","27.5000","33.5333","","","",""
"17069974","3/1/2011 12:00:00 AM","29.4193","25.1935","34.2258","","","",""
"17071664","12/1/2019 12:00:00 AM","28.3225","24.6129","31.5161","","","",""
"17035321","","","","","","","",""
"17072148","12/1/2016 12:00:00 AM","4.0684","0.8244","7.4737","","","",""
"17069963","3/1/2015 12:00:00 AM","6.5161","1.7741","11.3225","","","",""
"17069964","10/1/2024 12:00:00 AM","27.2580","23.4838","30.5161","","","",""
"17069956","5/1/2021 12:00:00 AM","31.1290","28.5806","33.2903","","","",""
"17069957","6/1/2020 12:00:00 AM","17.8333","13.5000","21.7000","","","",""
"17069967","1/1/2022 12:00:00 AM","27.6774","24.0322","30.8064","","","",""
"17069959","8/1/2018 12:00:00 AM","27.6774","26.0967","28.6451","","","",""
"17072148","6/1/2021 12:00:00 AM","22.5000","16.2666","28.3000","","","",""
"17069959","4/1/2014 12:00:00 AM","28.7000","24.0666","33.2000","","","",""
"17072148","8/1/2012 12:00:00 AM","24.3225","19.4838","29.4193","","","",""
"17069975","12/1/2015 12:00:00 AM","24.5161","16.6129","32.6451","","","",""
"17069973","10/1/2012 12:00:00 AM","28.6774","23.5483","33.6451","","","",""
"17072554","9/1/2024 12:00:00 AM","14.0283","10.9300","17.1266","","","",""
"17069973","4/1/2017 12:00:00 AM","28.4666","23.3666","33.3000","","","",""
"17069962","10/1/2021 12:00:00 AM","5.4516","2.8064","7.5161","","","",""
"17072550","1/1/2023 12:00:00 AM","20.3806","17.2193","23.5419","","","",""
"17071664","3/1/2019 12:00:00 AM","28.0645","23.7419","31.8387","","","",""
"17069967","9/1/2017 12:00:00 AM","29.0000","25.0000","33.2333","","","",""
"17069975","2/1/2021 12:00:00 AM","28.5000","23.7142","32.6428","","","",""
"17072154","","","","","","","",""
"17069966","5/1/2018 12:00:00 AM","18.5483","12.4193","24.0322","","","",""
"17072550","3/1/2022 12:00:00 AM","20.2983","15.7612","24.8354","","","",""
"17071665","1/1/2014 12:00:00 AM","24.1612","17.9032","30.2903","","","",""
"17069973","11/1/2011 12:00:00 AM","29.9333","25.8333","34.5000","","","",""
"17071665","8/1/2019 12:00:00 AM","28.0322","26.5483","29.3225","","","",""
"17069958","2/1/2011 12:00:00 AM","5.4642","0.1071","10.6428","","","",""
"17069974","7/1/2015 12:00:00 AM","28.7419","26.0322","31.3225","","","",""
"17069959","10/1/2014 12:00:00 AM","29.1290","23.9032","34.3225","","","",""
"17069964","11/1/2023 12:00:00 AM","25.9666","21.6666","29.5666","","","",""
"17069975","5/1/2024 12:00:00 AM","31.4838","28.7741","33.7419","","","",""
"17069973","8/1/2021 12:00:00 AM","28.1290","26.0645","29.8387","","","",""
"17069957","7/1/2016 12:00:00 AM","19.3563","15.5747","23.2276","","","",""
"17071669","","","","","","","",""
"17069966","4/1/2017 12:00:00 AM","9.3000","3.9333","15.1666","","","",""
"17069966","8/1/2023 12:00:00 AM","20.2903","15.0967","25.0967","","","",""
"17071665","1/1/2019 12:00:00 AM","25.6774","20.4516","30.5161","","","",""
"17069966","1/1/2018 12:00:00 AM","5.8870","3.6774","8.1935","","","",""
"17069961","4/1/2022 12:00:00 AM","-17.2333","-21.4333","-12.4666","","","",""
"17069975","8/1/2011 12:00:00 AM","27.4193","26.0645","29.0322","","","",""
"17069966","9/1/2013 12:00:00 AM","15.3333","11.2666","19.3666","","","",""
"17069974","2/1/2017 12:00:00 AM","25.5357","17.7142","33.1428","","","",""
"17069965","3/1/2023 12:00:00 AM","24.5161","17.7096","30.8387","","","",""
"17071665","12/1/2023 12:00:00 AM","29.0645","24.8387","32.9032","","","",""
"17072554","10/1/2005 12:00:00 AM","14.9903","11.4419","18.5387","","","",""
"17072148","7/1/2020 12:00:00 AM","26.7419","20.3225","32.7096","","","",""
"17069959","1/1/2018 12:00:00 AM","24.2741","17.2580","31.3870","","","",""
